21:15:49.781 ==== AWAKE（原地坐下版 0.2.0）====
21:15:49.796 Harmony PatchAll 完成（由 AppGame.Update 驅動）
21:15:49.796 AWAKE 完成 runInBackground=True unityVer=2021.2.2f1
21:15:56.229 [hb] frame=1 Inst_RefNull=False mgrNonNull=True
21:16:07.810 [hb] frame=600 Inst_RefNull=False mgrNonNull=True
21:16:18.001 [hb] frame=1200 Inst_RefNull=False mgrNonNull=True
21:16:29.137 [hb] frame=1800 Inst_RefNull=False mgrNonNull=True
21:16:45.608 [hb] frame=2400 Inst_RefNull=False mgrNonNull=True
21:16:55.860 [hb] frame=3000 Inst_RefNull=False mgrNonNull=True
21:17:05.874 [hb] frame=3600 Inst_RefNull=False mgrNonNull=True
21:17:15.880 [hb] frame=4200 Inst_RefNull=False mgrNonNull=True
21:17:25.885 [hb] frame=4800 Inst_RefNull=False mgrNonNull=True
21:17:35.949 [hb] frame=5400 Inst_RefNull=False mgrNonNull=True
21:17:45.949 [hb] frame=6000 Inst_RefNull=False mgrNonNull=True
21:17:55.949 [hb] frame=6600 Inst_RefNull=False mgrNonNull=True
21:18:05.949 [hb] frame=7200 Inst_RefNull=False mgrNonNull=True
21:18:15.949 [hb] frame=7800 Inst_RefNull=False mgrNonNull=True
21:18:25.949 [hb] frame=8400 Inst_RefNull=False mgrNonNull=True
21:18:35.949 [hb] frame=9000 Inst_RefNull=False mgrNonNull=True
21:18:45.951 [hb] frame=9600 Inst_RefNull=False mgrNonNull=True
21:18:55.962 [hb] frame=10200 Inst_RefNull=False mgrNonNull=True
21:19:05.963 [hb] frame=10800 Inst_RefNull=False mgrNonNull=True
21:19:15.964 [hb] frame=11400 Inst_RefNull=False mgrNonNull=True
21:19:25.963 [hb] frame=12000 Inst_RefNull=False mgrNonNull=True
21:19:35.963 [hb] frame=12600 Inst_RefNull=False mgrNonNull=True
21:19:45.963 [hb] frame=13200 Inst_RefNull=False mgrNonNull=True
21:19:55.963 [hb] frame=13800 Inst_RefNull=False mgrNonNull=True
21:20:05.968 [hb] frame=14400 Inst_RefNull=False mgrNonNull=True
21:20:15.968 [hb] frame=15000 Inst_RefNull=False mgrNonNull=True
21:20:25.968 [hb] frame=15600 Inst_RefNull=False mgrNonNull=True
21:20:35.968 [hb] frame=16200 Inst_RefNull=False mgrNonNull=True
21:20:45.968 [hb] frame=16800 Inst_RefNull=False mgrNonNull=True
21:20:55.969 [hb] frame=17400 Inst_RefNull=False mgrNonNull=True
21:21:05.969 [hb] frame=18000 Inst_RefNull=False mgrNonNull=True
21:21:15.970 [hb] frame=18600 Inst_RefNull=False mgrNonNull=True
21:21:25.970 [hb] frame=19200 Inst_RefNull=False mgrNonNull=True
21:21:35.971 [hb] frame=19800 Inst_RefNull=False mgrNonNull=True
